Period,Ax,Bx,Gap,Au,Lam,Actual,Predicted
950.0,195.0,295.0,420.0,130.0,0.642,-2.5499999999999996e-11,-6.645543202397073e-11
950.0,195.0,295.0,320.0,150.0,0.636,-3.22e-10,-3.5371812373181685e-10
950.0,115.0,315.0,320.0,130.0,0.634,-9.19e-10,-9.305196715690734e-10
950.0,155.0,215.0,70.0,50.0,0.632,-2.79e-10,-2.4406769764660075e-10
950.0,115.0,295.0,370.0,110.0,0.632,-7.519999999999999e-10,-7.124634181449742e-10
950.0,155.0,255.0,170.0,50.0,0.634,-1.5000000000000002e-10,-1.5389397277488353e-10
950.0,135.0,235.0,220.0,150.0,0.634,5.27e-10,5.083598840510521e-10
950.0,195.0,275.0,70.0,70.0,0.636,-8.219999999999998e-11,-8.164858276465325e-11
950.0,195.0,235.0,20.0,50.0,0.64,-1.5599999999999997e-11,2.5086467784836387e-11
950.0,175.0,215.0,70.0,130.0,0.634,-7.64e-13,6.167226653600474e-12
950.0,115.0,295.0,270.0,150.0,0.634,1.4300000000000002e-12,-1.2121953569948238e-11
950.0,135.0,215.0,220.0,150.0,0.634,4.18e-10,3.912201119684364e-10
950.0,195.0,295.0,70.0,130.0,0.634,6.31e-11,3.6568262683557095e-11
950.0,175.0,275.0,420.0,150.0,0.642,-9.8e-11,-8.314137657253653e-11
950.0,175.0,335.0,320.0,130.0,0.632,-3.6500000000000003e-10,-3.906517486406818e-10
950.0,175.0,215.0,20.0,70.0,0.638,-3.11e-11,-4.5146910808997406e-11
950.0,135.0,295.0,220.0,70.0,0.636,3.15e-10,3.286111907246481e-10
950.0,115.0,315.0,20.0,90.0,0.64,2.6200000000000004e-11,4.869967265459853e-11
950.0,135.0,255.0,270.0,130.0,0.642,1.41e-10,1.1127447299552491e-10
950.0,175.0,335.0,370.0,130.0,0.632,-1.14e-10,-6.960323709274645e-11
950.0,175.0,315.0,120.0,110.0,0.632,2.81e-10,3.1585215796191817e-10
950.0,155.0,295.0,270.0,130.0,0.64,-3.11e-10,-2.845199883737413e-10
950.0,175.0,215.0,270.0,90.0,0.634,1.81e-11,1.638188047466733e-11
950.0,175.0,275.0,70.0,110.0,0.636,2.5500000000000002e-11,1.8699465713092087e-11
950.0,195.0,215.0,320.0,150.0,0.632,-9.53e-11,-7.995488771129764e-11
950.0,135.0,215.0,220.0,90.0,0.634,2.9e-10,2.7233590143008433e-10
950.0,175.0,235.0,120.0,130.0,0.64,1.19e-10,1.3683213422472526e-10
950.0,195.0,335.0,70.0,50.0,0.638,-7.69e-11,-2.272515984299182e-11
950.0,195.0,235.0,20.0,50.0,0.634,-5.84e-11,-6.046245684267425e-11
950.0,135.0,235.0,220.0,70.0,0.632,1.47e-10,1.0917896176611436e-10
950.0,195.0,335.0,220.0,70.0,0.634,-7.62e-11,-4.686169120843327e-11
950.0,155.0,255.0,170.0,130.0,0.634,4.15e-10,4.443091907199932e-10
950.0,155.0,235.0,170.0,130.0,0.632,2.94e-10,3.191219669397084e-10
950.0,155.0,275.0,420.0,50.0,0.632,2.62e-10,2.306071324830973e-10
950.0,155.0,315.0,120.0,130.0,0.632,3.4800000000000004e-10,3.6000804546002467e-10
950.0,135.0,315.0,20.0,150.0,0.634,9.430000000000002e-12,3.600738334022113e-11
950.0,135.0,295.0,70.0,130.0,0.64,1.04e-10,8.922832155325719e-11
950.0,195.0,235.0,320.0,130.0,0.642,-2.0500000000000002e-10,-1.9747793722911532e-10
950.0,135.0,275.0,270.0,70.0,0.64,4.22e-12,-1.7017230818791896e-11
950.0,175.0,235.0,20.0,150.0,0.632,-4.06e-12,-5.921275790922038e-12
950.0,135.0,335.0,70.0,110.0,0.638,1.52e-10,1.1423591690652191e-10
950.0,115.0,295.0,420.0,90.0,0.632,-3.32e-10,-3.8048692988087836e-10
950.0,155.0,235.0,420.0,150.0,0.632,-1.67e-10,-2.139470062081386e-10
950.0,175.0,235.0,370.0,70.0,0.638,8.279999999999998e-12,3.0698536632720024e-11
950.0,195.0,335.0,270.0,70.0,0.632,-2.86e-10,-2.41307449739175e-10
950.0,155.0,255.0,370.0,50.0,0.64,9.49e-11,6.082165789806378e-11
950.0,195.0,215.0,320.0,130.0,0.642,-9.8e-11,-1.0257326846880236e-10
950.0,135.0,335.0,220.0,110.0,0.642,3.79e-10,3.5024226959883364e-10
950.0,115.0,315.0,70.0,110.0,0.632,1.0300000000000002e-10,7.684933387366879e-11
950.0,175.0,295.0,420.0,50.0,0.642,3.4399999999999995e-10,3.551895093250466e-10
950.0,195.0,315.0,370.0,90.0,0.634,-1.32e-11,-3.616838016273407e-11
950.0,175.0,295.0,220.0,150.0,0.642,2.62e-10,2.234526806536921e-10
950.0,175.0,295.0,20.0,70.0,0.636,-8.33e-11,-5.407298372852234e-11
950.0,115.0,335.0,220.0,150.0,0.634,6.640000000000001e-10,6.290290603623894e-10
950.0,155.0,275.0,170.0,50.0,0.634,-7.47e-11,-7.867969370100573e-11
950.0,135.0,235.0,370.0,50.0,0.638,1.13e-10,1.5994029182730173e-10
950.0,155.0,235.0,370.0,50.0,0.64,8.59e-11,4.095549037520672e-11
950.0,135.0,275.0,420.0,110.0,0.632,-2.2e-10,-2.0754290143334072e-10
950.0,175.0,295.0,120.0,50.0,0.64,-8.24e-11,-1.4587752822615995e-10
950.0,195.0,255.0,120.0,70.0,0.638,-3.54e-11,-5.7514358465526947e-11
950.0,155.0,275.0,370.0,70.0,0.64,-1.84e-10,-2.2381932956037015e-10
950.0,195.0,215.0,270.0,70.0,0.642,1.75e-12,1.2584337863878724e-11
950.0,195.0,235.0,270.0,90.0,0.634,-2.6100000000000006e-11,-1.5700158505086326e-11
950.0,195.0,255.0,70.0,150.0,0.634,2.9100000000000002e-11,1.5570667076239468e-11
950.0,175.0,235.0,370.0,110.0,0.638,-2.19e-10,-2.2048867048258909e-10
950.0,155.0,295.0,220.0,70.0,0.634,1.87e-10,1.694990124832684e-10
950.0,155.0,235.0,20.0,130.0,0.636,-2.87e-12,-5.023849486043079e-12
950.0,175.0,315.0,120.0,110.0,0.636,2.93e-10,3.2732774469585213e-10
950.0,155.0,335.0,20.0,50.0,0.634,-1.05e-10,-9.166551428302473e-11
950.0,135.0,235.0,20.0,70.0,0.638,-2.7499999999999996e-11,-4.257644267968187e-11
950.0,135.0,275.0,320.0,90.0,0.632,-5.22e-10,-5.032024341788423e-10
950.0,195.0,335.0,120.0,50.0,0.632,1.91e-10,1.6834134464972582e-10
950.0,135.0,315.0,420.0,90.0,0.634,-1.24e-10,-1.0466727343300778e-10
950.0,155.0,275.0,20.0,50.0,0.632,-1.5500000000000003e-10,-1.86554040338744e-10
950.0,155.0,335.0,270.0,150.0,0.642,-5.58e-10,-5.130873724421627e-10
950.0,135.0,215.0,70.0,130.0,0.64,2.6300000000000002e-11,1.3087048177949135e-11
950.0,175.0,215.0,20.0,150.0,0.64,1.2800000000000002e-12,1.00224518355922e-11
950.0,175.0,275.0,370.0,130.0,0.636,-2.53e-10,-2.699469627617699e-10
950.0,135.0,275.0,220.0,70.0,0.64,3.02e-10,2.706346920821099e-10
950.0,195.0,295.0,420.0,90.0,0.642,1.7599999999999996e-11,-1.1619219523546951e-11
950.0,135.0,235.0,370.0,150.0,0.636,-5.32e-10,-4.981889287990354e-10
950.0,195.0,295.0,70.0,70.0,0.634,-6.27e-11,-7.677112910437672e-11
950.0,115.0,315.0,270.0,130.0,0.638,-2.22e-10,-2.2678938148401403e-10
950.0,195.0,295.0,270.0,110.0,0.636,-3.07e-10,-2.6826910104366615e-10
950.0,175.0,315.0,320.0,130.0,0.634,-4.3e-10,-4.556392059162226e-10
950.0,175.0,235.0,320.0,50.0,0.634,3.32e-11,3.8599838840429957e-11
950.0,175.0,315.0,220.0,50.0,0.636,2.7199999999999994e-11,5.380769032694791e-12
950.0,175.0,315.0,220.0,70.0,0.634,7.53e-11,4.5702455450179817e-11
950.0,135.0,335.0,20.0,110.0,0.632,1.55e-12,3.2927775359290666e-11
950.0,115.0,315.0,420.0,70.0,0.64,-2.86e-10,-3.076513025458329e-10
950.0,115.0,335.0,70.0,70.0,0.642,-7.900000000000001e-11,-1.641218757893915e-11
950.0,115.0,295.0,420.0,130.0,0.64,-3.6099999999999994e-10,-3.6554790203826396e-10
950.0,195.0,235.0,20.0,130.0,0.638,-2.1e-12,7.057967180542858e-12
950.0,195.0,215.0,120.0,70.0,0.632,-4.16e-11,-1.899238961517631e-11
950.0,135.0,275.0,120.0,130.0,0.634,2.47e-10,2.448916771431753e-10
950.0,175.0,295.0,420.0,50.0,0.634,1.68e-10,1.5715106232027826e-10
950.0,135.0,295.0,270.0,150.0,0.636,-1.91e-10,-1.655444892522704e-10
950.0,135.0,275.0,120.0,150.0,0.64,2.78e-10,2.6871491616050547e-10
950.0,175.0,295.0,170.0,70.0,0.638,1.4399999999999997e-10,1.0602232838732467e-10
950.0,155.0,295.0,170.0,70.0,0.636,2.37e-10,2.483553084450306e-10
950.0,175.0,335.0,120.0,50.0,0.634,8.73e-11,1.0558854219424618e-10
950.0,135.0,275.0,70.0,70.0,0.64,6.49e-11,3.408937535503557e-11
950.0,175.0,335.0,20.0,70.0,0.634,-6.44e-11,-6.058599619400373e-11
950.0,135.0,215.0,370.0,110.0,0.638,-3.76e-10,-3.417552610106287e-10
950.0,155.0,235.0,420.0,50.0,0.642,-3.35e-10,-3.1535547348739674e-10
950.0,155.0,255.0,270.0,70.0,0.638,1.5800000000000001e-12,9.592892048001133e-13
950.0,175.0,335.0,70.0,130.0,0.642,1.39e-10,1.0785848026206875e-10
950.0,155.0,235.0,220.0,50.0,0.638,-9.37e-11,-1.1498559030478834e-10
950.0,135.0,255.0,220.0,70.0,0.64,2.76e-10,2.7385913494821053e-10
950.0,195.0,275.0,20.0,50.0,0.642,-6.13e-11,-6.134073847491923e-11
950.0,175.0,215.0,120.0,150.0,0.634,5.27e-11,7.855374949976097e-11
950.0,175.0,295.0,120.0,50.0,0.642,-2.63e-10,-3.578656432859121e-10
950.0,155.0,235.0,420.0,50.0,0.64,9.96e-11,3.50806341823567e-11
950.0,175.0,275.0,420.0,90.0,0.64,-6.71e-11,-2.6256859372717333e-11
950.0,155.0,295.0,270.0,50.0,0.64,2.0800000000000002e-11,-1.1999032271729522e-11
950.0,135.0,235.0,20.0,150.0,0.634,-6.56e-13,-1.3388266008671235e-12
950.0,135.0,235.0,270.0,110.0,0.642,2.12e-10,1.8421953435614578e-10
950.0,155.0,335.0,270.0,50.0,0.636,-1.1e-10,-1.2979538113368926e-10
950.0,195.0,335.0,170.0,70.0,0.636,1.98e-10,1.8705672464083354e-10
950.0,115.0,295.0,320.0,110.0,0.632,-8e-10,-7.165042888288126e-10
950.0,155.0,295.0,220.0,70.0,0.638,1.5500000000000003e-10,1.3666717418905367e-10
950.0,115.0,315.0,370.0,150.0,0.638,-6.63e-10,-6.821528102702229e-10
950.0,135.0,295.0,370.0,130.0,0.634,-5.41e-10,-5.718091386173051e-10
950.0,195.0,315.0,20.0,90.0,0.64,-4.21e-12,-1.2159333415881313e-11
950.0,115.0,295.0,120.0,110.0,0.636,3.5600000000000006e-10,3.672172981037066e-10
950.0,135.0,255.0,20.0,150.0,0.642,4.32e-12,4.8847747308508435e-12
950.0,195.0,315.0,170.0,110.0,0.64,3.61e-10,3.3394184197032924e-10
950.0,175.0,295.0,70.0,130.0,0.634,6.72e-11,3.870905741967864e-11
950.0,135.0,275.0,170.0,150.0,0.642,6.04e-10,6.337705478403418e-10
950.0,115.0,315.0,120.0,130.0,0.634,4.01e-10,3.7395872338191967e-10
950.0,155.0,275.0,320.0,130.0,0.642,-5.79e-10,-5.637104635074807e-10
950.0,175.0,215.0,170.0,150.0,0.642,1.75e-10,1.9328145269718656e-10
950.0,155.0,255.0,320.0,130.0,0.638,-4.58e-10,-4.345139182721786e-10
950.0,175.0,275.0,420.0,150.0,0.634,-7.39e-11,-3.685692815003204e-11
950.0,135.0,235.0,320.0,130.0,0.638,-3.01e-10,-2.936006263211739e-10
950.0,135.0,275.0,270.0,50.0,0.634,1.07e-12,-3.6185656342685045e-12
950.0,175.0,335.0,270.0,130.0,0.632,-5.44e-10,-5.262762412473093e-10
950.0,135.0,275.0,420.0,90.0,0.634,-2.17e-10,-2.3004477972311032e-10
950.0,135.0,235.0,170.0,110.0,0.64,4.04e-10,4.2395809747547503e-10
950.0,195.0,275.0,370.0,50.0,0.64,7.300000000000002e-11,6.321106835477922e-11
950.0,155.0,295.0,320.0,130.0,0.642,-6.23e-10,-6.271325822135055e-10
950.0,175.0,295.0,270.0,70.0,0.636,-1.3e-10,-1.4148908779611612e-10
950.0,135.0,335.0,270.0,150.0,0.64,-5.56e-10,-5.147984959723528e-10
950.0,155.0,275.0,220.0,130.0,0.638,4.79e-10,4.4512131974157647e-10
950.0,195.0,235.0,370.0,150.0,0.634,-1.35e-10,-1.5516467167548292e-10
950.0,175.0,255.0,70.0,50.0,0.64,-7.63e-11,-1.18175366006238e-10
950.0,155.0,335.0,420.0,150.0,0.638,-5.32e-11,-8.389103326503794e-11
950.0,195.0,215.0,120.0,50.0,0.634,-6.13e-11,-4.2752313113051516e-11
950.0,155.0,335.0,120.0,90.0,0.64,3.670000000000001e-10,3.9981304288785837e-10
950.0,135.0,315.0,170.0,130.0,0.642,7.32e-10,7.756246358851787e-10
950.0,175.0,215.0,370.0,70.0,0.638,1.93e-11,2.6448659854298505e-11
950.0,195.0,215.0,420.0,150.0,0.634,-3.14e-11,-3.569563942735005e-11
950.0,175.0,335.0,320.0,150.0,0.634,-3.78e-10,-4.1094961957909755e-10
950.0,195.0,255.0,220.0,110.0,0.636,1.64e-10,1.3432961368746871e-10
950.0,155.0,255.0,220.0,110.0,0.634,4.14e-10,3.904984581970109e-10
950.0,195.0,235.0,170.0,150.0,0.634,1.75e-10,1.8926731688817814e-10
950.0,175.0,295.0,320.0,70.0,0.638,-1.29e-10,-1.0151723389152331e-10
950.0,195.0,335.0,20.0,110.0,0.64,1.02e-11,2.0433540151293643e-11
950.0,175.0,275.0,70.0,90.0,0.64,4.84e-11,1.1872490444816225e-11
950.0,135.0,315.0,70.0,50.0,0.638,-1.59e-10,-1.2350315276728288e-10
950.0,195.0,235.0,220.0,110.0,0.638,1.26e-10,1.1518136356136734e-10
950.0,155.0,295.0,70.0,70.0,0.632,-1.42e-10,-1.2809264716910457e-10
950.0,155.0,335.0,370.0,130.0,0.632,-2.17e-10,-1.749036944400657e-10
950.0,135.0,295.0,70.0,130.0,0.632,6.44e-11,8.59675847220025e-11
950.0,155.0,215.0,220.0,110.0,0.632,2.43e-10,2.2120015108846243e-10
950.0,115.0,335.0,320.0,90.0,0.636,-9.26e-10,-9.292033619903218e-10
950.0,175.0,215.0,270.0,110.0,0.642,4.68e-11,3.7138721354436325e-11
