Period,Ax,Bx,Gap,Au,Lam,Force
950,115,295,320,70,0.634,-5.22E-10
950,115,295,320,70,0.636,-5.10E-10
950,115,295,320,70,0.638,-4.92E-10
950,115,295,320,70,0.64,-4.62E-10
950,115,295,320,70,0.642,-3.96E-10
950,115,295,320,90,0.632,-7.37E-10
950,115,295,320,90,0.634,-7.31E-10
950,115,295,320,90,0.636,-7.22E-10
950,115,295,320,90,0.638,-7.09E-10
950,115,295,320,90,0.64,-6.89E-10
950,115,295,320,90,0.642,-6.48E-10
950,115,295,320,110,0.632,-8.00E-10
950,115,295,320,110,0.634,-7.94E-10
950,115,295,320,110,0.636,-7.87E-10
950,115,295,320,110,0.638,-7.77E-10
950,115,295,320,110,0.64,-7.64E-10
950,115,295,320,110,0.642,-7.41E-10
950,115,295,320,130,0.632,-8.17E-10
950,115,295,320,130,0.634,-8.11E-10
950,115,295,320,130,0.636,-8.03E-10
950,115,295,320,130,0.638,-7.95E-10
950,115,295,320,130,0.64,-7.85E-10
950,115,295,320,130,0.642,-7.72E-10
950,115,295,320,150,0.632,-8.22E-10
950,115,295,320,150,0.634,-8.15E-10
950,115,295,320,150,0.636,-8.08E-10
950,115,295,320,150,0.638,-8.00E-10
950,115,295,320,150,0.64,-7.92E-10
950,115,295,320,150,0.642,-7.82E-10
950,115,295,370,50,0.632,-1.16E-10
950,115,295,370,50,0.634,-1.12E-10
950,115,295,370,50,0.636,-1.05E-10
950,115,295,370,50,0.638,-9.55E-11
950,115,295,370,50,0.64,-8.46E-11
950,115,295,370,50,0.642,2.18E-11
950,115,295,370,70,0.632,-6.08E-10
950,115,295,370,70,0.634,-6.12E-10
950,115,295,370,70,0.636,-6.10E-10
950,115,295,370,70,0.638,-6.02E-10
950,115,295,370,70,0.64,-5.76E-10
950,115,295,370,70,0.642,-5.84E-10
950,115,295,370,90,0.632,-7.53E-10
950,115,295,370,90,0.634,-7.59E-10
950,115,295,370,90,0.636,-7.60E-10
950,115,295,370,90,0.638,-7.56E-10
950,115,295,370,90,0.64,-7.40E-10
950,115,295,370,90,0.642,-7.40E-10
950,115,295,370,110,0.632,-7.52E-10
950,115,295,370,110,0.634,-7.60E-10
950,115,295,370,110,0.636,-7.63E-10
950,115,295,370,110,0.638,-7.62E-10
950,115,295,370,110,0.64,-7.56E-10
950,115,295,370,110,0.642,-7.53E-10
950,115,295,370,130,0.632,-7.39E-10
950,115,295,370,130,0.634,-7.48E-10
950,115,295,370,130,0.636,-7.52E-10
950,115,295,370,130,0.638,-7.52E-10
950,115,295,370,130,0.64,-7.50E-10
950,115,295,370,130,0.642,-7.48E-10
950,115,295,370,150,0.632,-7.33E-10
950,115,295,370,150,0.634,-7.42E-10
950,115,295,370,150,0.636,-7.45E-10
950,115,295,370,150,0.638,-7.47E-10
950,115,295,370,150,0.64,-7.46E-10
950,115,295,370,150,0.642,-7.45E-10
950,115,295,420,50,0.632,1.00E-10
950,115,295,420,50,0.634,7.58E-11
950,115,295,420,50,0.636,5.45E-11
950,115,295,420,50,0.638,2.74E-11
950,115,295,420,50,0.64,-4.45E-11
950,115,295,420,50,0.642,2.83E-10
950,115,295,420,70,0.632,-2.62E-10
950,115,295,420,70,0.634,-2.88E-10
950,115,295,420,70,0.636,-3.07E-10
950,115,295,420,70,0.638,-3.25E-10
950,115,295,420,70,0.64,-3.53E-10
950,115,295,420,70,0.642,-2.56E-10
950,115,295,420,90,0.632,-3.32E-10
950,115,295,420,90,0.634,-3.56E-10
950,115,295,420,90,0.636,-3.72E-10
950,115,295,420,90,0.638,-3.84E-10
950,115,295,420,90,0.64,-3.97E-10
950,115,295,420,90,0.642,-3.64E-10
950,115,295,420,110,0.632,-3.18E-10
950,115,295,420,110,0.634,-3.41E-10
950,115,295,420,110,0.636,-3.55E-10
950,115,295,420,110,0.638,-3.66E-10
950,115,295,420,110,0.64,-3.76E-10
950,115,295,420,110,0.642,-3.66E-10
950,115,295,420,130,0.632,-3.06E-10
950,115,295,420,130,0.634,-3.29E-10
950,115,295,420,130,0.636,-3.42E-10
950,115,295,420,130,0.638,-3.53E-10
950,115,295,420,130,0.64,-3.61E-10
950,115,295,420,130,0.642,-3.61E-10
950,115,295,420,150,0.632,-3.01E-10
950,115,295,420,150,0.634,-3.23E-10
950,115,295,420,150,0.636,-3.37E-10
950,115,295,420,150,0.638,-3.47E-10
950,115,295,420,150,0.64,-3.55E-10
950,115,295,420,150,0.642,-3.58E-10
950,115,315,20,50,0.632,-1.48E-10
950,115,315,20,50,0.634,-1.34E-10
950,115,315,20,50,0.636,-1.15E-10
950,115,315,20,50,0.638,-8.30E-11
950,115,315,20,50,0.64,-1.30E-11
950,115,315,20,50,0.642,-9.57E-11
950,115,315,20,70,0.632,-7.26E-11
950,115,315,20,70,0.634,-5.88E-11
950,115,315,20,70,0.636,-4.26E-11
950,115,315,20,70,0.638,-1.89E-11
950,115,315,20,70,0.64,2.12E-11
950,115,315,20,70,0.642,-6.54E-11
950,115,315,20,90,0.632,-1.62E-11
950,115,315,20,90,0.634,-7.48E-12
950,115,315,20,90,0.636,1.14E-12
950,115,315,20,90,0.638,1.18E-11
950,115,315,20,90,0.64,2.62E-11
950,115,315,20,90,0.642,-1.57E-11
950,115,315,20,110,0.632,2.41E-12
950,115,315,20,110,0.634,7.44E-12
950,115,315,20,110,0.636,1.17E-11
950,115,315,20,110,0.638,1.63E-11
950,115,315,20,110,0.64,2.18E-11
950,115,315,20,110,0.642,5.32E-12
950,115,315,20,130,0.632,6.66E-12
950,115,315,20,130,0.634,1.02E-11
950,115,315,20,130,0.636,1.29E-11
950,115,315,20,130,0.638,1.55E-11
950,115,315,20,130,0.64,1.82E-11
950,115,315,20,130,0.642,1.27E-11
950,115,315,20,150,0.632,7.59E-12
950,115,315,20,150,0.634,1.07E-11
950,115,315,20,150,0.636,1.28E-11
950,115,315,20,150,0.638,1.47E-11
950,115,315,20,150,0.64,1.66E-11
950,115,315,20,150,0.642,1.52E-11
950,115,315,70,50,0.632,-1.76E-10
950,115,315,70,50,0.634,-1.52E-10
950,115,315,70,50,0.636,-1.28E-10
950,115,315,70,50,0.638,-9.20E-11
950,115,315,70,50,0.64,2.92E-12
950,115,315,70,50,0.642,-4.08E-10
950,115,315,70,70,0.632,4.57E-11
950,115,315,70,70,0.634,6.65E-11
950,115,315,70,70,0.636,8.38E-11
950,115,315,70,70,0.638,1.04E-10
950,115,315,70,70,0.64,1.47E-10
950,115,315,70,70,0.642,-1.15E-10
950,115,315,70,90,0.632,1.05E-10
950,115,315,70,90,0.634,1.20E-10
950,115,315,70,90,0.636,1.32E-10
950,115,315,70,90,0.638,1.42E-10
950,115,315,70,90,0.64,1.59E-10
950,115,315,70,90,0.642,5.53E-11
950,115,315,70,110,0.632,1.03E-10
950,115,315,70,110,0.634,1.17E-10
950,115,315,70,110,0.636,1.27E-10
950,115,315,70,110,0.638,1.35E-10
950,115,315,70,110,0.64,1.44E-10
950,115,315,70,110,0.642,1.08E-10
950,115,315,70,130,0.632,9.86E-11
950,115,315,70,130,0.634,1.12E-10
950,115,315,70,130,0.636,1.21E-10
950,115,315,70,130,0.638,1.28E-10
950,115,315,70,130,0.64,1.35E-10
950,115,315,70,130,0.642,1.24E-10
950,115,315,70,150,0.632,9.66E-11
950,115,315,70,150,0.634,1.10E-10
950,115,315,70,150,0.636,1.18E-10
950,115,315,70,150,0.638,1.25E-10
950,115,315,70,150,0.64,1.31E-10
950,115,315,70,150,0.642,1.30E-10
950,115,315,120,50,0.632,2.30E-11
950,115,315,120,50,0.634,2.67E-11
950,115,315,120,50,0.636,2.92E-11
950,115,315,120,50,0.638,3.37E-11
950,115,315,120,50,0.64,6.36E-11
950,115,315,120,50,0.642,-2.50E-10
950,115,315,120,70,0.632,3.74E-10
950,115,315,120,70,0.634,3.87E-10
950,115,315,120,70,0.636,3.93E-10
950,115,315,120,70,0.638,3.96E-10
950,115,315,120,70,0.64,4.00E-10
950,115,315,120,70,0.642,2.89E-10
950,115,315,120,90,0.632,4.24E-10
950,115,315,120,90,0.634,4.40E-10
950,115,315,120,90,0.636,4.48E-10
950,115,315,120,90,0.638,4.53E-10
950,115,315,120,90,0.64,4.55E-10
950,115,315,120,90,0.642,4.15E-10
950,115,315,120,110,0.632,4.01E-10
950,115,315,120,110,0.634,4.17E-10
950,115,315,120,110,0.636,4.26E-10
950,115,315,120,110,0.638,4.33E-10
950,115,315,120,110,0.64,4.37E-10
950,115,315,120,110,0.642,4.23E-10
950,115,315,120,130,0.632,3.85E-10
950,115,315,120,130,0.634,4.01E-10
950,115,315,120,130,0.636,4.11E-10
950,115,315,120,130,0.638,4.18E-10
950,115,315,120,130,0.64,4.23E-10
950,115,315,120,130,0.642,4.20E-10
950,115,315,120,150,0.632,3.78E-10
950,115,315,120,150,0.634,3.95E-10
950,115,315,120,150,0.636,4.05E-10
950,115,315,120,150,0.638,4.12E-10
950,115,315,120,150,0.64,4.17E-10
950,115,315,120,150,0.642,4.18E-10
950,115,315,170,50,0.632,2.38E-10
950,115,315,170,50,0.634,2.12E-10
950,115,315,170,50,0.636,1.86E-10
950,115,315,170,50,0.638,1.54E-10
950,115,315,170,50,0.64,1.10E-10
950,115,315,170,50,0.642,-2.07E-11
950,115,315,170,70,0.632,7.25E-10
950,115,315,170,70,0.634,7.11E-10
950,115,315,170,70,0.636,6.94E-10
950,115,315,170,70,0.638,6.70E-10
950,115,315,170,70,0.64,6.25E-10
950,115,315,170,70,0.642,5.85E-10
950,115,315,170,90,0.632,8.60E-10
950,115,315,170,90,0.634,8.54E-10
950,115,315,170,90,0.636,8.44E-10
950,115,315,170,90,0.638,8.32E-10
950,115,315,170,90,0.64,8.06E-10
950,115,315,170,90,0.642,7.82E-10
950,115,315,170,110,0.632,8.51E-10
950,115,315,170,110,0.634,8.49E-10
950,115,315,170,110,0.636,8.44E-10
950,115,315,170,110,0.638,8.37E-10
950,115,315,170,110,0.64,8.24E-10
