Period,Ax,Bx,Gap,Au,Lam,Predicted,Actual
950.0,155.0,255.0,120.0,90.0,0.638,1.4470499768608894e-10,1.33e-10
950.0,195.0,315.0,420.0,150.0,0.636,2.7339275902434145e-11,-9.83e-12
950.0,135.0,235.0,70.0,130.0,0.632,-3.7928019974563944e-11,2.99e-12
950.0,135.0,275.0,70.0,70.0,0.632,-1.4229966846254888e-10,-1.39e-10
950.0,115.0,335.0,320.0,110.0,0.638,-9.390077245781908e-10,-9.150000000000001e-10
950.0,175.0,235.0,20.0,50.0,0.64,-2.3240433987003145e-11,-1.9199999999999996e-11
950.0,155.0,235.0,220.0,110.0,0.634,3.201311937962452e-10,3.4399999999999995e-10
950.0,195.0,275.0,220.0,130.0,0.64,1.6080021228525514e-10,1.78e-10
950.0,175.0,215.0,270.0,90.0,0.64,2.9541200244092705e-11,3.12e-11
950.0,155.0,275.0,370.0,130.0,0.638,-4.421677832889594e-10,-4.15e-10
950.0,135.0,335.0,270.0,90.0,0.636,-4.844794263761801e-10,-5.29e-10
950.0,195.0,235.0,120.0,70.0,0.634,-2.4185380886414853e-11,-4.73e-11
950.0,175.0,235.0,220.0,130.0,0.634,2.4805979659803714e-10,2.69e-10
950.0,155.0,295.0,270.0,70.0,0.632,-1.2134155879522564e-10,-1.42e-10
950.0,135.0,315.0,420.0,150.0,0.638,-2.1460070361834714e-10,-1.63e-10
950.0,135.0,295.0,420.0,110.0,0.642,-1.9902239333873882e-10,-2.29e-10
950.0,175.0,215.0,20.0,110.0,0.632,-9.899908420865867e-12,-1.74e-11
950.0,155.0,275.0,170.0,130.0,0.636,5.448723112161617e-10,5.17e-10
950.0,175.0,215.0,220.0,50.0,0.632,-3.825931586327875e-11,-4.96e-11
950.0,175.0,335.0,170.0,70.0,0.642,3.678387648084628e-10,4.31e-10
950.0,135.0,235.0,370.0,150.0,0.632,-4.910274790079166e-10,-5.14e-10
950.0,195.0,235.0,70.0,110.0,0.632,3.93159651799659e-12,-1.06e-11
950.0,175.0,275.0,370.0,70.0,0.642,-3.083201988110323e-10,-3.45e-10
950.0,155.0,295.0,270.0,130.0,0.632,-3.0112507049974725e-10,-3.3e-10
950.0,135.0,315.0,20.0,150.0,0.636,4.331566120199193e-11,1.16e-11
950.0,175.0,315.0,120.0,110.0,0.64,3.5378202812277883e-10,3.15e-10
950.0,155.0,295.0,220.0,70.0,0.636,1.6480297711012837e-10,1.71e-10
950.0,155.0,315.0,70.0,70.0,0.632,-9.052089218659017e-11,-9.709999999999999e-11
950.0,175.0,235.0,220.0,90.0,0.636,1.2732754631835965e-10,1.37e-10
950.0,195.0,335.0,220.0,50.0,0.636,-2.0062528868075018e-11,-3.59e-11
950.0,155.0,295.0,270.0,50.0,0.634,-5.088485725448656e-11,-3.47e-11
950.0,155.0,215.0,220.0,50.0,0.634,-1.3327846798535986e-10,-1.27e-10
950.0,135.0,235.0,170.0,90.0,0.64,3.926542831977389e-10,3.88e-10
950.0,195.0,295.0,420.0,50.0,0.64,-4.1396293814863195e-11,5.96e-11
950.0,175.0,255.0,220.0,110.0,0.634,2.510246243400791e-10,2.78e-10
950.0,135.0,235.0,70.0,110.0,0.636,8.498514244255e-12,2.1500000000000003e-11
950.0,175.0,335.0,220.0,90.0,0.642,-4.002956211933589e-12,5.1e-12
950.0,175.0,315.0,370.0,110.0,0.64,-1.8159629944102172e-10,-1.77e-10
950.0,135.0,295.0,20.0,130.0,0.64,2.8703234186595022e-11,1.24e-11
950.0,195.0,335.0,320.0,50.0,0.632,-1.4579375195079587e-10,-1.37e-10
950.0,195.0,275.0,170.0,110.0,0.632,3.1612624337896376e-10,3.02e-10
950.0,195.0,215.0,320.0,150.0,0.636,-7.868453301668813e-11,-9.5e-11
950.0,195.0,275.0,220.0,50.0,0.636,-9.905845991018186e-13,2.4e-11
950.0,195.0,295.0,420.0,130.0,0.642,-6.294851088741977e-11,-2.5499999999999996e-11
950.0,195.0,295.0,320.0,150.0,0.636,-3.520119441754166e-10,-3.22e-10
950.0,115.0,315.0,320.0,130.0,0.634,-9.217125380202418e-10,-9.19e-10
950.0,155.0,215.0,70.0,50.0,0.632,-2.5087768263621755e-10,-2.79e-10
950.0,115.0,295.0,370.0,110.0,0.632,-7.248184317433182e-10,-7.519999999999999e-10
950.0,155.0,255.0,170.0,50.0,0.634,-1.577705048691665e-10,-1.5000000000000002e-10
